income,credit_score,loan_amount,employment_length_years,loan_status
18913.9,669,5000,24,1
18930.03,753,20000,36,1
54590.98,628,20000,37,0
18228.17,677,15000,28,1
54164.85,677,5000,0,0
47932.77,530,25000,29,1
12893.98,850,10000,38,1
24184.35,603,10000,9,0
74344.55,716,15000,28,0
20156.87,727,15000,31,1
27483.95,636,15000,0,1
47917.52,711,15000,16,1
58106.59,675,15000,11,1
31228.2,508,15000,1,1
25374.34,617,25000,8,1
85256.69,589,25000,11,1
103088.16,604,10000,24,0
65337.07,520,10000,35,0
38222.93,763,15000,34,0
22360.26,810,10000,21,0
22064.68,748,15000,32,1
49687.49,777,25000,20,1
46678.5,616,20000,39,1
84200.75,586,25000,21,1
53651.79,572,5000,27,0
14737.52,714,25000,3,1
68266.1,673,5000,25,1
19953.58,642,10000,22,0
28842.85,780,25000,22,1
42197.66,690,20000,7,1
120258.7,566,25000,31,0
234673.66,582,25000,38,0
52262.47,718,25000,0,1
32535.34,754,15000,29,1
50046.28,705,25000,27,1
61857.79,840,25000,16,0
29959.43,814,20000,22,1
106630.71,694,5000,37,0
41691.08,566,5000,23,0
48954.46,519,20000,21,1
54152.24,611,10000,4,1
46767.88,725,25000,24,0
60075.92,833,10000,6,1
25075.54,692,20000,21,1
25978.35,767,10000,36,0
18767.98,625,5000,33,0
47273.29,712,15000,35,1
57951.51,732,10000,39,0
47794.4,452,15000,19,1
99180.38,609,10000,36,0
36193.77,745,20000,16,1
54243.86,677,15000,3,1
18863.41,530,10000,17,0
28788.76,407,20000,27,1
55123.02,613,5000,15,1
60443.32,643,25000,7,1
30443.26,562,20000,17,1
34788.44,664,20000,28,1
14607.29,701,5000,39,1
29312.89,717,15000,15,1
61959.11,414,10000,29,0
51283.43,519,15000,33,1
49040.39,620,20000,29,0
37416.39,707,10000,20,1
36469.73,699,25000,21,1
24435.87,697,25000,24,1
55231.96,612,10000,21,0
46750.67,617,20000,27,1
48786.62,577,5000,38,0
26486.2,727,15000,32,1
9976.57,558,15000,1,1
70143.02,735,5000,3,0
27246.97,671,5000,15,0
21640.77,645,25000,11,1
55054.97,584,5000,16,0
28704.02,514,10000,35,1
68594.1,585,25000,15,0
52585.91,617,20000,38,1
54728.59,413,25000,22,1
16001.32,630,25000,7,1
75144.36,742,15000,8,1
42478.37,707,5000,13,0
29098.26,600,10000,8,1
39578.17,655,5000,25,1
12509.69,594,15000,35,1
46406.35,665,5000,2,0
19582.22,804,10000,9,1
16129.38,747,5000,24,0
14568.03,702,15000,3,1
70799.91,601,10000,29,0
24895.49,725,5000,10,1
91147.71,481,15000,18,0
26331.44,625,15000,12,1
13037.5,708,25000,35,1
18584.54,724,10000,2,1
76228.22,717,10000,13,1
33072.62,679,5000,9,0
26134.92,630,25000,37,1
39975.06,704,10000,39,0
49073.26,555,15000,26,1
71000.29,566,10000,23,1
86603.85,656,25000,15,1
29264.74,667,20000,9,0
16389.09,467,15000,26,1
28336.92,696,10000,6,1
42453.66,727,15000,27,1
20368.5,642,5000,25,0
20449.41,850,15000,17,1
44634.96,582,10000,12,1
35270.73,614,5000,7,1
37037.2,610,5000,26,0
23038.06,642,5000,13,0
31626.78,617,20000,5,1
20857.32,509,20000,19,1
61952.24,595,5000,27,0
67585.56,640,10000,22,0
11995.51,773,5000,11,0
20791.37,850,5000,23,1
14795.56,784,15000,21,1
24587.31,572,15000,25,1
34542.21,580,15000,21,0
15217.68,634,25000,6,1
20887.04,828,15000,14,1
19883.1,633,15000,29,1
41124.54,517,10000,3,1
37858.34,600,20000,5,1
23551.8,726,20000,1,1
40380.11,719,20000,30,1
26160.13,630,25000,23,1
30853.55,718,5000,34,1
99118.49,423,15000,30,1
81168.02,660,10000,24,0
16651.43,736,25000,7,1
59744.92,567,20000,11,0
59091.24,566,25000,1,1
18233.98,463,10000,14,1
59353.51,809,25000,39,0
91377.92,578,20000,31,1
18517.53,674,5000,10,1
20941.71,710,20000,16,1
66876.1,801,20000,20,0
42740.28,635,20000,21,1
50558.47,596,25000,32,0
44549.38,667,10000,28,1
45909.05,778,20000,14,0
16384.92,633,25000,20,1
68076.72,555,10000,1,0
73258.82,496,5000,37,0
31645.95,528,20000,2,1
35380.42,736,15000,24,0
14491.76,618,25000,12,1
49441.87,589,5000,23,0
51186.67,578,5000,30,0
34985.37,659,5000,14,0
71297.18,626,25000,5,1
29719.35,623,10000,9,0
50958.33,785,15000,8,1
19696.6,804,10000,4,1
35805.93,489,20000,18,1
32708.41,683,15000,19,1
41572.11,572,10000,32,1
29093.9,625,20000,36,1
33560.88,681,15000,30,0
59612.96,629,25000,38,0
27943.54,673,20000,12,1
13850.18,717,10000,37,1
103751.13,679,15000,5,0
83189.17,585,20000,7,1
16724.71,587,20000,9,1
54930.54,506,25000,3,1
26855.21,565,20000,13,1
42535.42,846,15000,3,1
43327.14,571,5000,23,0
31550.83,531,15000,20,1
22691.38,682,15000,9,1
23996.79,639,25000,24,1
20958.19,630,25000,5,1
22046.45,791,20000,15,1
34880.84,705,25000,27,1
23636.42,597,20000,35,1
54678.79,608,5000,32,0
88640.81,600,10000,29,0
25641.52,737,25000,35,1
41925.21,619,25000,24,1
49011.54,471,5000,12,0
48204.2,645,25000,38,1
38008.81,496,5000,14,1
56704.53,850,20000,37,1
48501.47,553,25000,29,1
17281.68,634,25000,13,1
,676,20000,3,1
61844.26,621,25000,0,1
22971.93,621,15000,2,1
37151.62,692,5000,35,0
54720.7,803,10000,3,0
32029.47,727,15000,13,1
69132.96,798,10000,24,0
149989.94,545,15000,38,1
22661.17,682,15000,2,1
15857.11,666,15000,6,1
43577.28,685,5000,7,0
55990.51,788,10000,6,0
31617.95,628,20000,24,1
86851.62,609,20000,16,0
16266.07,703,25000,25,1
55036.46,472,5000,3,0
25247.53,626,5000,17,0
101887.72,637,5000,3,1
120031.47,558,15000,16,0
22925.52,756,5000,16,0
26115.02,544,20000,24,1
60824.79,636,5000,2,1
28788.22,679,15000,11,1
35339.38,785,10000,26,1
36872.93,649,5000,16,0
11478.1,744,10000,21,1
36015.24,720,25000,38,1
24008.5,662,15000,38,0
27014.43,541,5000,35,0
86351.31,507,25000,15,0
17087.39,661,25000,36,1
59155.4,596,10000,28,1
30718.56,742,20000,13,1
30703.87,725,20000,6,1
58350.5,632,20000,27,1
44535.0,534,20000,12,1
51142.33,701,15000,15,0
64919.99,548,5000,20,0
29768.77,574,5000,3,1
25151.13,552,15000,38,1
18937.7,636,10000,34,1
22131.42,767,5000,14,1
213087.18,649,25000,25,1
76634.89,606,5000,6,0
16144.83,497,15000,17,1
16424.43,705,10000,24,1
48490.33,572,5000,36,1
50430.88,662,15000,20,1
50479.89,615,25000,7,1
31164.24,734,20000,19,1
33682.29,634,25000,17,1
44210.95,644,25000,18,1
38236.12,699,10000,2,0
9589.46,850,5000,37,0
31638.19,739,20000,17,1
21788.9,641,15000,26,0
40341.13,650,20000,14,0
217761.43,598,5000,20,1
45274.04,555,10000,21,0
30088.01,595,5000,7,1
63138.18,573,15000,10,1
48514.24,715,20000,11,0
46726.03,543,25000,38,1
52266.47,783,5000,26,0
124732.43,725,10000,34,0
18425.06,652,10000,1,1
48251.36,650,20000,34,0
20830.45,594,25000,30,1
50681.06,677,15000,7,1
20926.85,759,25000,19,0
28270.66,580,20000,7,1
30422.75,497,25000,3,1
65217.95,720,20000,30,0
63011.51,682,25000,31,1
17198.36,538,5000,12,0
37532.42,577,10000,21,0
23724.23,564,20000,25,0
17066.91,578,20000,16,1
31881.77,618,10000,28,0
30179.26,623,15000,26,1
155753.5,585,20000,21,0
47088.11,574,5000,17,0
15889.75,627,25000,4,1
25877.67,667,5000,11,0
67025.6,618,20000,1,1
127142.74,766,15000,6,1
14022.38,701,20000,25,1
11755.13,491,15000,38,1
-50000.0,702,10000,14,0
45879.26,711,25000,32,1
21569.26,607,5000,2,1
50049.98,500,15000,1,1
7469.26,651,5000,16,1
36389.13,649,10000,0,0
44209.4,538,20000,35,0
63231.77,505,15000,16,1
19764.89,641,25000,1,1
38231.39,627,15000,32,0
20842.41,608,20000,28,0
42329.11,642,20000,5,0
21221.97,540,25000,35,1
28428.27,607,25000,23,1
19980.47,703,10000,10,1
53673.88,615,5000,4,0
60783.32,483,15000,29,1
31546.81,603,10000,9,1
37158.31,543,5000,36,0
15227.3,677,10000,26,1
30339.14,682,25000,26,1
35237.89,484,25000,23,1
174988.56,726,20000,2,1
18635.43,539,15000,37,1
87422.36,806,15000,25,0
66046.56,645,15000,38,0
42975.34,525,10000,17,1
104315.19,536,10000,2,0
45399.81,685,15000,37,0
45866.74,611,20000,24,1
35176.29,640,5000,12,0
75670.32,811,10000,24,0
70114.26,580,15000,23,1
24949.11,656,25000,15,1
16456.1,792,10000,10,1
32151.41,677,5000,20,0
22470.91,489,10000,30,1
34957.39,701,5000,14,0
76302.64,534,5000,35,1
27601.32,791,10000,0,1
35394.3,568,5000,27,1
,850,10000,32,0
60418.98,797,10000,2,0
9432.03,570,20000,14,1
25234.81,652,25000,32,1
41223.77,725,5000,31,0
74611.31,728,10000,22,0
27034.21,694,5000,25,1
11778.94,775,10000,16,0
52671.35,638,10000,8,0
24804.55,613,10000,4,1
17786.59,615,25000,28,1
24969.06,736,5000,5,0
32509.41,687,25000,34,1
25264.44,679,25000,20,0
9668.81,730,25000,22,1
62208.05,445,25000,34,0
78035.96,681,20000,1,1
,672,5000,8,1
18350.07,817,5000,12,1
32180.15,497,10000,33,0
36173.69,806,5000,15,0
52014.44,658,25000,4,1
54230.8,699,15000,0,0
23376.72,818,5000,39,0
38146.81,706,15000,21,1
47780.28,690,20000,25,1
86985.21,674,10000,33,0
55420.45,602,10000,20,0
58304.47,647,10000,6,1
38188.74,578,20000,24,0
84649.59,646,25000,11,0
46437.27,416,15000,30,0
21662.7,693,5000,26,1
84290.29,638,25000,21,0
55201.31,616,10000,33,0
27838.45,672,10000,16,1
27236.25,507,25000,10,1
43388.31,843,15000,28,0
47949.85,640,25000,33,0
40879.15,635,20000,36,1
43773.56,553,10000,25,1
100707.39,652,15000,31,1
69073.46,789,5000,36,0
40716.2,754,10000,4,1
63881.58,735,25000,19,1
19545.21,705,15000,6,1
46108.67,614,10000,22,1
107536.31,505,5000,0,1
31862.1,630,5000,38,0
21838.28,626,25000,2,1
24556.86,755,20000,2,1
18886.83,681,25000,5,1
22677.83,811,15000,30,0
29076.78,770,25000,26,1
15625.5,604,15000,28,1
36657.41,470,20000,14,1
62402.85,789,25000,35,0
21064.54,786,5000,4,0
90361.21,513,15000,2,1
49339.25,801,15000,24,0
67396.5,688,5000,31,0
24472.35,666,25000,20,1
60640.31,811,20000,16,0
18860.78,784,10000,8,0
61954.06,715,25000,25,0
40259.59,697,25000,21,1
50612.34,712,15000,22,1
17937.4,610,15000,10,1
21225.49,644,20000,9,1
51965.58,560,20000,22,1
20557.71,617,20000,4,1
47950.46,613,5000,25,1
15989.98,586,10000,3,1
60409.67,664,10000,26,0
17335.05,618,20000,37,1
50583.46,700,15000,33,1
52858.75,488,10000,2,1
23907.25,639,25000,31,1
51493.76,663,5000,25,1
42457.78,619,15000,17,1
26283.45,633,5000,6,1
19828.33,491,25000,12,1
11186.07,686,10000,5,1
44792.23,715,5000,34,0
14201.72,699,5000,30,0
38453.56,754,5000,36,0
31005.85,670,25000,3,1
54583.43,698,15000,3,1
30296.05,666,15000,7,1
29802.02,719,25000,37,1
56337.88,492,5000,10,1
44401.78,561,5000,1,0
43901.05,809,20000,17,0
48125.17,404,10000,17,0
14452.99,636,10000,21,0
57186.5,767,15000,11,0
52442.95,641,25000,16,0
19731.87,609,5000,16,1
31368.26,663,10000,35,0
35469.05,615,25000,28,1
33500.04,653,25000,15,1
44369.87,582,5000,10,0
85718.17,761,25000,21,0
69498.47,792,10000,29,0
16525.64,637,20000,7,1
52745.94,511,10000,17,0
80608.55,598,20000,15,0
45802.1,632,25000,19,1
69883.74,701,10000,38,0
121462.67,549,5000,7,0
67119.22,573,25000,29,1
42175.09,701,5000,37,1
67985.73,744,20000,28,0
39613.8,588,15000,12,0
36840.09,517,15000,16,1
29411.81,850,20000,39,1
92785.72,728,15000,16,0
22224.33,623,25000,8,1
91073.36,737,25000,1,1
49016.8,638,10000,23,0
15684.31,737,25000,20,1
45278.59,666,15000,1,1
10300.87,659,5000,4,1
52854.85,639,10000,16,1
61767.89,505,5000,23,1
25452.94,844,15000,7,1
39109.81,556,5000,29,0
117300.52,514,15000,21,0
26810.58,629,25000,23,1
19238.24,554,10000,25,0
88344.4,645,20000,7,1
117895.31,719,15000,11,0
36396.12,750,25000,13,1
66627.84,731,5000,29,0
81217.46,619,25000,34,0
23260.44,655,5000,30,1
27141.43,691,5000,27,0
76002.74,474,5000,26,0
99808.49,707,5000,35,1
50905.62,504,10000,0,1
21420.66,850,5000,13,0
119639.3,610,10000,9,0
26407.87,632,20000,6,1
29700.45,573,10000,39,1
44596.15,587,5000,13,1
92272.02,850,20000,35,0
60620.33,744,25000,26,1
46579.66,495,10000,10,0
47952.83,800,25000,36,1
37276.14,769,20000,9,1
50761.0,622,10000,6,0
7960.63,681,5000,16,1
30395.06,649,10000,11,0
41973.48,847,5000,36,0
18203.91,570,15000,36,1
45788.76,665,10000,35,0
32122.67,607,10000,6,1
104118.55,507,25000,23,0
93322.06,850,25000,33,0
27460.85,532,20000,0,1
33173.19,672,5000,28,0
34739.46,476,25000,25,0
27694.92,610,20000,9,1
40823.57,692,5000,0,1
23041.01,568,5000,16,0
18428.08,709,5000,35,0
52766.23,623,15000,8,0
52982.54,766,5000,38,0
22413.32,786,20000,22,1
62144.23,591,5000,28,0
24860.94,658,5000,1,1
42272.8,668,20000,17,1
59409.32,712,10000,27,1
35590.44,651,5000,6,0
47707.53,669,20000,10,0
26639.28,626,25000,6,1
32277.32,662,20000,23,1
32095.92,780,15000,14,0
23203.37,715,25000,30,1
32660.95,720,10000,18,0
14340.3,722,10000,9,0
27046.36,635,20000,7,1
30609.78,682,20000,0,1
31141.36,541,5000,1,1
31416.91,777,5000,28,0
34994.34,372,15000,9,1
48419.84,641,5000,8,0
61372.08,764,20000,30,0
24591.12,514,20000,31,1
17642.74,690,5000,1,1
19433.88,582,15000,23,1
27110.55,613,20000,36,1
29402.86,745,15000,5,1
22879.63,670,20000,7,1
16686.08,447,15000,39,1
27620.89,552,15000,24,1
40491.85,748,15000,24,1
51897.07,695,5000,10,0
25992.05,825,10000,34,0
28344.87,818,15000,0,1
20826.49,616,15000,22,0
35636.89,850,20000,2,1
21827.87,652,10000,0,1
51219.56,554,20000,11,0
12437.61,587,20000,37,1
29267.18,424,15000,39,0
43506.45,811,25000,30,0
40550.39,809,10000,28,0
182740.1,548,20000,34,0
44796.26,627,25000,27,1
19881.94,660,25000,20,1
34293.85,554,20000,10,1
12509.61,474,15000,25,1
34601.08,629,5000,10,0
22030.13,618,20000,4,1
62895.77,611,15000,6,1
26115.28,672,10000,30,0
33858.33,793,15000,38,1
24801.65,620,25000,7,1
103085.17,667,10000,26,0
29949.09,723,10000,20,0
109047.0,705,5000,29,0
59189.0,589,5000,13,0
48496.17,660,20000,0,1
45308.04,705,15000,23,1
45994.56,537,20000,5,1
11423.14,776,5000,5,1
30720.02,793,25000,4,1
60300.45,578,5000,34,0
35265.54,669,15000,14,1
15629.04,714,25000,34,1
35191.41,595,20000,7,1
100958.35,698,20000,34,0
76736.67,666,5000,4,0
34989.3,503,5000,30,1
64271.37,696,20000,30,0
29146.67,540,20000,36,1
13064.8,744,10000,7,1
20854.4,583,15000,5,1
92756.52,634,10000,22,0
30810.29,787,10000,15,1
31381.37,700,20000,7,0
30336.2,542,15000,3,1
113832.34,549,20000,31,1
96333.88,590,10000,2,1
137484.73,689,10000,15,0
33010.23,686,20000,33,1
43363.56,566,5000,12,0
14618.08,533,5000,32,0
88094.08,678,20000,21,0
18021.71,632,25000,30,1
41359.83,850,25000,23,1
18800.12,654,5000,2,1
25506.28,831,15000,32,1
21974.6,533,10000,29,1
25217.03,493,15000,25,1
26279.03,538,5000,33,0
26135.21,769,20000,21,1
59874.16,826,25000,29,1
18715.03,572,5000,34,0
41453.39,604,15000,24,0
75416.06,533,15000,27,1
26691.01,469,5000,32,0
23605.82,722,10000,22,1
31624.43,672,15000,25,1
73705.68,651,10000,8,1
40801.11,510,10000,7,0
26404.02,814,20000,36,1
48548.86,600,5000,32,1
18743.92,703,5000,14,1
54656.08,505,10000,7,0
46405.09,631,20000,20,1
30191.48,679,15000,2,1
21957.16,683,15000,8,1
21332.59,665,5000,13,1
50055.64,699,10000,37,1
75916.42,537,20000,26,0
24775.62,670,20000,19,1
47812.0,661,15000,3,0
10381.53,673,15000,23,1
25571.39,657,25000,26,1
35645.02,523,25000,11,1
21040.2,518,10000,27,0
20704.29,429,25000,34,1
24326.76,732,20000,23,1
43274.36,733,25000,30,1
32454.77,734,5000,2,0
9481.15,681,5000,29,0
10173.89,437,15000,26,1
25232.32,547,15000,16,1
47791.92,667,10000,5,1
6984.84,664,5000,17,1
26907.54,628,10000,34,1
26482.81,687,10000,26,1
83533.47,651,25000,16,1
28824.67,662,15000,10,1
45697.25,586,10000,37,1
39527.59,748,10000,36,0
10113.84,607,15000,33,1
57579.64,517,15000,31,0
41325.62,573,5000,34,0
49264.61,615,15000,27,0
382981.75,749,25000,21,0
10399.7,646,5000,15,1
102213.39,631,10000,39,0
30562.57,525,25000,11,0
43148.26,729,25000,4,1
35337.24,585,5000,25,0
28154.38,640,10000,25,0
25799.24,798,5000,12,0
44254.19,701,20000,23,0
14613.42,487,20000,2,1
56973.84,473,5000,31,0
28290.56,644,10000,22,0
18434.12,529,10000,36,0
27722.3,715,15000,37,1
77210.41,654,25000,37,0
26338.81,667,5000,12,1
45029.46,579,25000,14,1
23421.89,824,25000,1,1
57225.4,850,20000,10,1
54792.28,622,20000,15,1
110102.31,685,5000,17,0
32684.68,660,5000,33,0
54241.03,624,10000,9,0
38516.44,567,5000,12,0
79025.28,542,10000,31,1
23592.89,536,10000,7,1
56783.62,691,5000,6,0
32311.6,598,10000,16,1
34943.48,392,25000,26,1
38370.78,694,10000,7,0
42249.35,646,25000,28,1
33869.24,785,25000,36,1
41308.68,687,25000,26,0
93607.97,502,15000,36,0
65595.99,427,15000,23,0
61174.93,578,10000,15,0
27630.52,587,5000,25,1
21299.85,744,10000,30,1
64420.06,649,15000,26,1
61428.43,763,20000,25,1
87869.01,518,20000,14,1
25276.03,747,10000,14,1
31642.95,722,15000,22,0
13579.4,448,25000,24,1
28696.12,782,15000,3,1
66035.14,659,10000,35,0
27449.49,689,15000,15,1
53331.79,564,20000,39,0
32393.02,778,25000,20,1
44109.67,531,10000,39,0
18240.24,733,10000,16,1
38220.44,732,5000,2,0
6034.92,553,25000,6,1
32463.2,848,10000,11,0
13653.02,673,15000,0,1
74876.6,715,15000,36,0
57898.36,497,15000,5,1
48050.25,850,15000,22,1
90454.64,528,10000,24,0
20550.7,752,20000,24,1
103612.98,551,25000,2,1
63533.01,588,15000,3,1
31510.21,729,10000,29,0
71780.78,753,10000,32,0
18698.97,523,15000,28,1
22143.33,759,5000,3,1
25206.22,754,10000,13,1
26439.47,556,25000,20,1
19265.39,810,25000,6,1
75648.27,504,5000,20,0
31091.43,588,10000,6,1
44869.03,698,5000,0,1
25791.21,565,10000,33,0
12181.07,676,10000,22,1
42703.43,674,5000,2,0
11529.3,631,20000,17,1
34850.39,733,15000,11,1
15978.69,627,15000,13,1
119654.73,673,15000,27,0
62743.96,765,5000,23,0
38694.48,729,10000,23,0
77514.79,729,10000,2,0
21855.56,535,25000,8,1
50316.46,702,10000,23,1
40940.96,562,20000,1,0
42549.02,522,15000,39,0
77917.99,643,20000,27,0
56358.89,560,15000,6,1
43184.38,729,5000,8,0
13454.48,731,20000,38,1
20413.92,460,10000,38,1
33737.82,567,15000,32,0
38408.09,504,25000,33,1
18432.63,604,20000,20,1
154354.32,696,5000,28,0
90204.67,626,25000,26,0
52118.28,591,5000,16,0
37919.55,780,15000,22,0
31973.88,420,20000,20,1
20513.71,774,5000,7,0
38043.61,596,25000,8,1
42389.31,642,25000,32,1
17239.24,597,10000,3,1
44378.3,804,5000,17,0
33085.31,527,20000,31,1
11560.11,651,20000,29,1
21671.84,703,10000,24,0
28334.54,489,25000,32,1
112714.41,558,5000,34,1
50712.71,635,25000,33,0
16296.59,561,5000,1,0
48611.81,568,5000,12,0
14351.61,615,5000,22,0
69537.03,715,25000,22,1
27373.35,616,25000,30,1
34331.49,758,25000,1,1
80456.99,550,15000,1,1
16775.95,525,25000,4,1
15704.92,843,10000,13,1
25587.02,584,15000,22,1
67712.58,519,5000,34,1
14594.39,476,20000,0,1
6638.93,758,15000,39,1
27703.24,616,15000,14,0
50566.49,625,5000,29,0
74619.49,634,25000,20,1
27504.45,751,25000,7,1
28371.6,632,15000,6,1
72572.43,850,25000,33,0
11827.17,663,15000,36,1
28764.22,756,20000,31,1
40711.03,731,20000,32,0
47549.72,646,5000,5,0
26745.35,591,10000,9,1
37073.76,683,10000,25,0
8160.03,701,25000,25,1
24466.28,593,10000,18,0
47672.27,667,20000,34,1
20143.23,774,5000,3,0
37623.74,850,20000,24,1
47482.83,735,15000,7,1
29568.67,836,25000,11,1
40226.38,587,25000,23,1
20381.04,720,10000,23,0
32081.45,784,15000,16,1
52372.12,560,10000,24,0
39902.08,601,10000,32,1
25542.05,824,10000,26,1
41544.89,552,15000,1,1
55757.43,516,10000,8,1
10615.13,803,25000,32,1
72798.05,770,10000,18,1
29680.55,693,15000,4,1
46877.54,645,15000,19,0
74484.64,606,20000,23,0
15946.52,678,10000,30,1
23726.2,808,15000,3,1
30542.39,674,10000,31,0
22691.55,850,5000,34,0
102843.32,560,25000,13,0
21718.87,648,25000,35,1
26021.33,613,10000,5,1
41053.58,541,25000,16,0
17653.87,635,25000,17,1
28640.92,692,5000,7,1
43935.24,702,25000,11,1
29741.06,850,25000,16,1
34336.63,696,15000,30,0
26433.85,765,25000,0,1
14637.15,657,10000,10,1
44044.51,818,25000,15,1
104084.66,850,10000,36,0
36718.68,703,25000,27,1
41571.02,551,10000,8,0
55029.99,595,25000,7,1
16956.42,678,10000,24,1
100862.03,696,25000,9,1
41002.87,720,5000,39,0
96675.39,696,15000,2,0
23392.72,651,15000,22,1
108102.72,586,15000,22,0
57820.19,690,15000,3,0
50605.93,835,5000,22,0
41790.1,752,5000,8,0
31284.65,703,25000,3,1
74631.58,753,5000,33,0
39506.32,613,15000,38,1
11156.28,599,20000,17,1
18577.16,575,25000,33,1
32483.66,637,10000,33,1
43739.17,608,15000,2,1
35103.18,771,15000,18,0
75461.85,602,15000,33,0
11263.68,570,5000,25,1
39582.91,844,10000,34,0
12200.26,605,25000,30,1
57286.91,665,15000,26,1
34314.55,695,10000,2,0
46712.45,536,20000,36,1
21626.4,774,5000,11,0
78251.16,714,15000,22,0
67848.65,806,10000,16,1
51540.68,582,10000,15,0
33600.28,660,15000,16,1
51426.78,654,10000,14,0
23762.51,676,10000,25,0
60677.81,505,25000,1,1
97703.1,661,5000,16,0
69034.82,507,25000,0,1
23440.92,686,5000,29,0
45109.6,437,5000,31,1
16715.89,465,25000,29,1
51196.9,732,15000,3,0
47589.24,595,10000,31,0
11826.64,551,20000,34,1
18086.66,777,25000,0,1
30641.69,683,25000,18,1
30317.61,737,15000,32,1
17576.43,633,10000,18,1
45861.77,850,25000,35,0
42229.92,590,20000,26,0
32319.9,824,10000,12,1
23075.46,644,25000,26,1
68133.5,485,25000,13,1
98051.12,698,5000,23,0
27169.85,681,5000,34,0
25152.18,545,25000,18,1
48762.88,558,15000,24,1
29295.3,648,5000,10,0
33401.69,685,25000,8,0
56601.56,403,10000,5,0
11549.37,755,20000,35,1
80096.02,601,5000,36,0
37934.2,517,25000,28,0
28370.47,744,5000,8,1
34422.29,648,10000,32,0
35506.02,772,15000,22,0
12852.31,694,25000,14,1
89050.86,650,10000,10,0
37227.22,635,20000,22,1
47372.69,698,25000,25,0
64275.25,609,20000,0,1
19678.9,565,15000,29,1
48246.72,711,25000,16,0
30927.94,636,25000,22,1
60358.83,653,10000,35,0
10134.12,759,5000,4,1
34219.24,639,25000,34,1
25293.62,652,15000,8,1
47068.43,590,25000,3,1
48147.6,693,25000,6,1
23752.06,685,25000,0,1
23687.33,740,25000,15,1
33982.49,592,15000,24,1
21205.47,604,10000,5,1
60185.71,729,5000,37,0
29099.48,675,15000,13,1
6347.44,559,15000,36,1
29001.61,781,20000,10,1
19474.74,480,5000,0,0
13646.45,728,10000,0,1
17284.13,523,10000,35,1
38779.42,839,20000,7,1
80594.4,496,20000,31,1
43822.85,765,15000,32,0
25237.8,642,10000,7,1
47740.84,613,10000,13,0
27571.72,669,10000,23,0
23938.42,713,15000,28,1
18167.37,560,10000,24,1
12694.23,568,25000,5,1
28740.02,715,20000,0,1
39927.96,479,20000,22,0
34270.01,592,20000,32,1
28294.42,850,20000,13,1
20589.83,553,25000,27,1
52310.26,765,5000,28,0
16477.0,591,10000,39,1
57850.46,701,20000,22,1
19903.88,715,10000,37,1
23121.98,763,10000,9,1
15061.98,630,25000,26,1
26880.56,849,10000,7,0
65198.22,591,20000,3,1
49482.62,673,10000,20,1
65319.98,675,25000,20,1
49676.41,538,20000,29,0
18728.43,621,25000,12,1
29778.04,666,15000,2,1
22739.99,607,5000,19,0
80687.98,850,10000,35,0
17710.75,566,10000,39,1
62082.45,768,10000,4,0
62054.75,736,15000,21,1
108855.01,649,5000,1,1
28401.24,563,25000,24,0
55680.95,573,15000,39,1
142770.13,598,15000,23,1
25069.69,471,20000,4,1
14457.6,550,15000,15,1
11754.53,502,15000,14,1
,785,10000,12,1
11732.4,712,20000,10,1
29045.2,729,25000,15,1
47211.27,709,5000,17,0
40583.03,667,25000,24,1
46876.27,796,20000,37,0
41496.9,589,10000,39,1
78223.04,661,5000,3,0
20508.82,725,25000,20,1
24192.62,518,5000,10,0
22843.1,850,5000,33,0
59761.39,653,5000,29,1
62332.56,664,15000,3,0
47607.0,776,20000,13,0
73872.52,741,20000,10,1
17911.09,654,10000,3,1
98748.79,663,25000,25,1
90575.87,500,10000,2,1
56464.83,594,25000,36,0
105776.04,702,5000,37,0
13440.48,694,25000,3,1
26511.43,772,25000,25,1
23360.88,638,5000,38,0
55987.72,511,10000,10,0
19339.71,756,25000,10,1
57210.75,794,10000,37,0
82646.0,740,10000,37,0
55111.94,634,20000,19,0
43055.73,754,5000,25,0
20075.91,850,5000,37,0
21848.54,662,15000,11,1
76862.34,519,10000,28,0
57965.85,591,15000,13,0
35475.17,713,5000,24,0
28261.46,490,5000,38,0
10769.95,667,15000,25,1
19100.86,688,5000,9,0
114330.82,804,5000,13,0
16843.61,781,20000,4,1
40687.98,736,25000,21,1
66467.37,434,20000,10,1
17103.64,742,25000,28,1
40571.71,721,20000,6,1
63751.58,676,20000,17,1
36588.88,477,10000,30,1
203016.36,572,15000,19,0
13344.24,533,20000,34,1
68544.41,448,10000,6,1
32738.89,650,20000,29,1
57708.06,570,15000,3,1
47324.54,850,10000,29,0
23390.99,633,25000,29,1
41664.21,779,15000,29,1
11911.49,493,5000,17,1
52153.6,597,10000,9,1
43429.54,660,5000,13,0
53273.6,559,10000,35,0
68519.32,608,25000,22,0
45277.79,628,10000,11,1
39689.96,627,20000,11,1
21404.55,836,5000,33,0
23686.67,688,5000,25,1
74016.31,698,10000,5,0
85974.09,704,20000,36,0
31480.82,711,20000,14,1
37331.83,642,10000,38,1
21104.28,618,15000,18,1
73398.16,667,25000,39,0
54135.75,766,10000,22,1
116393.32,763,20000,35,0
21439.84,626,25000,12,1
28946.23,727,10000,30,0
41725.49,631,25000,36,1
53524.44,653,15000,25,0
31907.6,603,20000,17,1
21508.93,632,15000,32,1
61626.33,784,15000,39,0
